CLIENT_IDENTIFIER,ISSUER_NAME,ISSUERID,CIK_NUM,ISSUER_ISIN,ISSUER_LEI,ISSUER_TICKER,AE_DIST_MAX_REV_PCT,ESG_CONTROVERSIES_COVERED,CARBON_EMISSIONS_SCOPE_3_TOTAL,GENERAT_THERMAL_COAL_PCT,FIREARM_PROD_MAX_REV_PCT,IVA_COMPANY_RATING,EU_TAXONOMY_ELIGIBLE_MAX_REV,ENVIRONMENT_TOXIC_FLAG,AE_PROD_MAX_REV_PCT,CONTRO_WEAP_CBLMBW_ANYTIE,FIREARM_RET_MAX_REV_PCT,ENERGY_CONSUMP_INTEN_EUR,GENDER_PAY_GAP_RATIO,MET_COAL_MAX_REV_PCT,PCT_NONRENEW_CONSUMP_PROD,PROD_CIV_ARMS_AUTO,ENVIRONMENT_LAND_FLAG,PCT_TOTL_ERGY_CONSUMP_NONRENEW,CARBON_EMISSIONS_SCOPE_1,CARBON_EMISSIONS_SCOPE_2,TOB_DIST_MAX_REV_PCT,PCT_TOTL_ERGY_PRODUCT_NONRENEW,CARBON_EMISSIONS_SALES_EUR_SCOPE123_INTEN,LABOR_COMPLIANCE_CORE,FEMALE_DIRECTORS_PCT,ANI_TEST_POLICY,OPS_PROT_BIODIV_AREAS,IVA_RATING_TREND,LABOR_DDIL_POL_ILO,ACTIVE_FF_SECTOR_EXPOSURE,ENVIRONMENT_CLIMATE_FLAG,WATER_EM_EFF_METRIC_TONS,OVERALL_FLAG,MECH_UN_GLOBAL_COMPACT,CARBON_EMISSIONS_EVIC_EUR_SCOPE123_INTEN,THERMAL_COAL_MAX_REV_PCT,TOTL_ERGY_CONSUMP_RENEW_GWH,OPS_PROT_BIODIV_CONTROVS,ANI_FACTORY_FARM,UNGC_COMPLIANCE,EST_EU_TAXONOMY_MAX_REV,PRED_LEND_MAX_REV,TOTL_ERGY_CONSUMP_NONRENEW_GWH,TOTL_ERGY_CONSUMP_GWH,CWEAP_TIE,FUR_PRODUCER,NON_PHARMCEUTICAL_TESTER,TOB_SUPP_MAX_REV_PCT,CONV_OIL_GAS_MAX_REV_PCT,HAZARD_WASTE_METRIC_TON,WEAP_MAX_REV_PCT,CARBON_EMISSIONS_SCOPE123
"","""KOREA ELECTRIC POWER CORPORATION""","""IID000000002172983""",,"""KR7015760002""","""988400QG33WS7JEIV602""","""015760""",,true,3.540275472E7,40.6,,"""BB""",59.99,"""Yellow""",,"""No""",,0.04,,,97.4201950925,,"""Green""",0.0,2.02694665E8,8442882.0,,97.9037885833,5502.032334087589,"""Pass""",7.1428571429,,"""Not Disclosed""",0,"""Yes""","""Not Disclosed""","""Green""",,"""Orange""","""Yes""",3310.656715146934,,4.88775,"""Not Disclosed""",,"""Pass""",3.0,,0.0,1941.1111112664,,,,,,,,2.4654030172326246E8
"","""KoreaGasCorporation""","""IID000000002172990""",,"""KR7036460004""","""988400TFZILHBD5M3R71""","""036460""",,true,6.103624304E7,,,"""BBB""",0.0,"""Green""",,"""No""",,0.18,,,100.0,,"""Green""",100.0,279215.0,408452.0,,,3031.9388920418437,"""Pass""",25.0,,"""Not Disclosed""",1,"""Yes""","""Yes""","""Green""",,"""Yellow""","""Yes""",2593.4699305184877,,,"""Not Disclosed""",,"""Pass""",0.0,,3683.333333628,3683.333333628,,,,,4.08,,,6.172391004415808E7
"","""NICE Information Service Co., Ltd.""","""IID000000002172994""",,"""KR7030190003""",,"""030190""",,true,59594.91,,,,0.0,"""Green""",,"""No""",,,,,,,"""Green""",,1476.0,2023.0,,,175.93642849040643,"""Pass""",0.0,,"""Not Disclosed""",,"""Not Disclosed""","""Not Disclosed""","""Green""",,"""Green""","""No Evidence""",77.70568727189898,,,"""Not Disclosed""",,"""Pass""",0.0,,,,,,,,,,,63093.9098372911
"","""Korea Investment Holdings Co., Ltd""","""IID000000002172996""",,"""KR7071050009""",,"""071050""",,true,579003.7,,,,0.0,"""Green""",,"""No""",,,,,,,"""Green""",,94.0,150.0,,,213.9648182793864,"""Pass""",18.1818181818,,"""Not Disclosed""",,"""Yes""","""Not Disclosed""","""Green""",,"""Green""","""No Evidence""",17.097503701226174,,,"""Not Disclosed""",,"""Pass""",0.0,,,,,,,,,,,579247.6956941377
"","""KUMHO PETRO CHEMICAL CO.,LTD""","""IID000000002172998""",,"""KR7011780004""",,"""011780""",,true,9077254.05,,,,27.33,"""Green""",,"""No""",,0.28,,,,,"""Green""",,3128818.0,344400.0,,,1994.8445778141452,"""Pass""",20.0,,"""Not Disclosed""",,"""Yes""","""Not Disclosed""","""Green""",,"""Yellow""","""No Evidence""",2964.413059590752,,,"""Not Disclosed""",,"""Pass""",2.74,,,1024.549,,,,,,,,1.2486671045477567E7
"","""Korea Real Estate Investment & Trust Co., Ltd""","""IID000000002173005""",,"""KR7034830000""",,"""034830""",,false,60208.05,,,,67.98,,,"""No""",,,,,,,"""Green""",,545.0,3455.0,,,394.94480514505256,"""Pass""",,,"""Not Disclosed""",,"""Not Disclosed""","""Not Disclosed""",,,"""Green""","""No Evidence""",76.86641165143152,,,"""Not Disclosed""",,"""Pass""",,,,,,,,,,,,64208.05098067378
"","""KOREA ZINC INC""","""IID000000002173013""",,"""KR7010130003""","""988400D0HSQUB1I1VO41""","""010130""",,true,1.35217202E7,,,,0.0,"""Green""",,"""No""",,1.3,,,99.9978873428,,"""Green""",99.9978873428,2352409.0,1615253.0,,,2313.6663847453888,"""Pass""",9.0909090909,,"""Not Disclosed""",,"""Yes""","""Not Disclosed""","""Green""",,"""Green""","""No Evidence""",2399.31178500865,,0.2028,"""Not Disclosed""",,"""Pass""",0.0,,9599.08301,9599.28581,,,,,,,,1.707511020101751E7
"","""KOREAN AIR LINES CO.,LTD""","""IID000000002173014""",,"""KR7003490000""","""988400C2UFBF4B660C58""","""003490""",,true,3148143.8,,,,1.08,"""Green""",,"""No""",,0.05,,,100.0,,"""Green""",100.0,8631157.0,43301.0,,,1603.2163923904895,"""Pass""",9.0909090909,,"""Not Disclosed""",,"""Yes""","""Not Disclosed""","""Green""",,"""Yellow""","""Yes""",624.9123007678561,,,"""Not Disclosed""",,"""Pass""",0.0,,351.8252780592,351.8252780592,,,,,,,2.0,1.0693461796001507E7
"","""Korean Reinsurance Company""","""IID000000002173015""",,"""KR7003690005""","""988400GFST66YNV5UF89""","""003690""",,true,760016.75,,,,100.0,"""Green""",,"""No""",,0.0,,,,,"""Green""",,347.0,2200.0,,,96.69086475902988,"""Pass""",14.2857142857,,"""Not Disclosed""",,"""Not Disclosed""","""Not Disclosed""","""Green""",,"""Green""","""No Evidence""",871.810293106852,,,"""Not Disclosed""",,"""Pass""",0.0,,,14.5991666678,,,,,,,,762563.7452776324
"","""Kossan Rubber Industries Bhd""","""IID000000002173035""",,"""MYL7153OO009""",,"""KOSSAN""",,true,256152.06,,,,14.6,"""Green""",,"""No""",,1.63,,,7.369514513,,"""Green""",7.369514513,381634.0,116554.0,,,865.8251952865895,"""Pass""",22.2222222222,,"""Not Disclosed""",,"""Yes""","""Not Disclosed""","""Green""",,"""Yellow""","""No Evidence""",1108.666347683275,,3.066789,"""Not Disclosed""",,"""Pass""",0.0,,167.945825,2278.9265792848,,,,,,,,1211949.704633449
"","""KOTAK MAHINDRA BANK LIMITED""","""IID000000002173037""",,"""INE237A01028""","""335800E6GTTXKHXE2I75""","""KOTAKBANK""",,true,2084950.01,,,,28.33,"""Green""",,"""No""",,0.01,,,95.7526017153,,"""Green""",95.7526017153,7820.0,76064.0,,,310.54354666833353,"""Pass""",16.6666666667,,"""Not Disclosed""",,"""Yes""","""Not Disclosed""","""Green""",,"""Yellow""","""No Evidence""",44.81379586924481,,3.6094444473,"""Not Disclosed""",,"""Pass""",0.0,,81.3769445095,84.9866667347,,,,,,2.07,,2168834.0087516173
"","""Koza Anadolu Metal Madencilik Isletmeleri AS""","""IID000000002173052""",,"""TREKOZA00014""","""789000DVKGVEC9701443""","""KOZAA.E""",,true,349416.82,,,,0.0,"""Green""",,"""No""",,,,,,,"""Green""",,103500.0,49077.0,,,1809.703378013711,"""Pass""",0.0,,"""Not Disclosed""",,"""Not Disclosed""","""Not Disclosed""","""Green""",,"""Green""","""No Evidence""",583.2470320109816,,,"""Not Disclosed""",,"""Pass""",0.0,,,,,,,,,,,497270.5870222428
"","""Mondelez International, Inc.""","""IID000000002173059""",,"""US6092071058""","""549300DV9GIB88LZ5P30""","""MDLZ""",,true,2.334036003E7,,,,0.0,"""Green""",,"""No""",,0.2,,,68.0,,"""Orange""",68.0,879703.0,793176.0,,,847.5799897016476,"""Pass""",30.0,true,"""Not Disclosed""",,"""Yes""","""Not Disclosed""","""Green""",,"""Orange""","""No Evidence""",232.76799126689073,,1604.5904901726,"""Not Disclosed""",,"""Watch List""",0.0,,3409.7547916167,5014.3452817893,,,true,,,,,2.501323903082043E7
"","""KREDITBANKEN A/S""","""IID000000002173076""",,"""DK0010253764""","""529900AVGYYBVL1VNQ03""","""KRE""",,true,,,,,,"""Green""",,,,,,,,,"""Green""",,,,,,,"""Pass""",,,,,,,"""Green""",,"""Green""",,,,,,,"""Pass""",,,,,,,,,,,,
"","""THE KROGER CO.""","""IID000000002173097""",,"""US5010441013""","""6CPEOKI6OYJ13Q6O7870""","""KR""",,true,5.783650163E7,,,,12.57,"""Green""",,"""No""",,0.1,,,98.4095767298,,"""Green""",98.4095767298,2303388.0,2747205.0,,,523.5648858887602,"""Pass""",45.4545454545,,"""Not Disclosed""",,"""Yes""","""Yes""","""Green""",,"""Orange""","""No Evidence""",1387.8074519683796,,186.533,"""Not Disclosed""",,"""Pass""",0.0,,11541.98,11728.513,,,,,,,,6.4400816222506106E7
"","""KRONOS WORLDWIDE, INC.""","""IID000000002173102""",,"""US50105F1057""","""549300OBZ34C65APL277""","""KRO""",,true,1655622.39,,,,0.0,"""Green""",,"""No""",,,,,,,"""Green""",,756763.0,226384.0,,,1547.2870726273334,"""Pass""",22.2222222222,,"""Not Disclosed""",,"""Yes""","""Not Disclosed""","""Green""",,"""Green""","""No Evidence""",1361.3061161184266,,,"""Not Disclosed""",,"""Pass""",4.4,,,,,,,,,,,2638769.3885451197
