CLIENT_IDENTIFIER,ISSUER_NAME,ISSUERID,CIK_NUM,ISSUER_ISIN,ISSUER_LEI,ISSUER_TICKER,AE_DIST_MAX_REV_PCT,ESG_CONTROVERSIES_COVERED,CARBON_EMISSIONS_SCOPE_3_TOTAL,GENERAT_THERMAL_COAL_PCT,FIREARM_PROD_MAX_REV_PCT,IVA_COMPANY_RATING,EU_TAXONOMY_ELIGIBLE_MAX_REV,ENVIRONMENT_TOXIC_FLAG,AE_PROD_MAX_REV_PCT,CONTRO_WEAP_CBLMBW_ANYTIE,FIREARM_RET_MAX_REV_PCT,ENERGY_CONSUMP_INTEN_EUR,GENDER_PAY_GAP_RATIO,MET_COAL_MAX_REV_PCT,PCT_NONRENEW_CONSUMP_PROD,PROD_CIV_ARMS_AUTO,ENVIRONMENT_LAND_FLAG,PCT_TOTL_ERGY_CONSUMP_NONRENEW,CARBON_EMISSIONS_SCOPE_1,CARBON_EMISSIONS_SCOPE_2,TOB_DIST_MAX_REV_PCT,PCT_TOTL_ERGY_PRODUCT_NONRENEW,CARBON_EMISSIONS_SALES_EUR_SCOPE123_INTEN,LABOR_COMPLIANCE_CORE,FEMALE_DIRECTORS_PCT,ANI_TEST_POLICY,OPS_PROT_BIODIV_AREAS,IVA_RATING_TREND,LABOR_DDIL_POL_ILO,ACTIVE_FF_SECTOR_EXPOSURE,ENVIRONMENT_CLIMATE_FLAG,WATER_EM_EFF_METRIC_TONS,OVERALL_FLAG,MECH_UN_GLOBAL_COMPACT,CARBON_EMISSIONS_EVIC_EUR_SCOPE123_INTEN,THERMAL_COAL_MAX_REV_PCT,TOTL_ERGY_CONSUMP_RENEW_GWH,OPS_PROT_BIODIV_CONTROVS,ANI_FACTORY_FARM,UNGC_COMPLIANCE,EST_EU_TAXONOMY_MAX_REV,PRED_LEND_MAX_REV,TOTL_ERGY_CONSUMP_NONRENEW_GWH,TOTL_ERGY_CONSUMP_GWH,CWEAP_TIE,FUR_PRODUCER,NON_PHARMCEUTICAL_TESTER,TOB_SUPP_MAX_REV_PCT,CONV_OIL_GAS_MAX_REV_PCT,HAZARD_WASTE_METRIC_TON,WEAP_MAX_REV_PCT,CARBON_EMISSIONS_SCOPE123
"","""THE TOLEDO EDISON COMPANY""","""IID000000002224190""",,"""US889175BD66""",,"""FE""",,true,125927.34,,,,100.0,"""Green""",,"""No""",,,,,,,"""Green""",,32053.0,123384.0,,,692.5703960193365,"""Pass""",27.2727272727,,"""Not Disclosed""",,"""Yes""","""Not Disclosed""","""Green""",,"""Green""","""No Evidence""",,,,"""Not Disclosed""",,"""Pass""",0.0,,,,,,,,,,,281364.33605431713
"","""TUCSON ELECTRIC POWER COMPANY""","""IID000000002224207""",,"""US898813AV23""","""YLF139GXSRKPBBTNZL03""","""FTS""",,true,1295692.65,38.87,,,27.8,"""Green""",,"""No""",,,,,93.1434333249,,"""Green""",,8404000.0,94430.0,,93.1434333249,7036.1551377448795,"""Pass""",58.3333333333,,"""Not Disclosed""",,"""Yes""","""Not Disclosed""","""Green""",,"""Green""","""No Evidence""",,,,"""Not Disclosed""",,"""Pass""",13.24,,,,,,,,,,,9853772.696817484
"","""LEVI STRAUSS & CO.""","""IID000000002224456""",,"""US52736R1023""","""MB0UERO0RDFKU8258G77""","""LEVI""",,true,3828357.1,,,,0.0,"""Green""",,"""No""",,0.03,,,,,"""Green""",,9884.0,40123.0,,,647.3685432089866,"""Pass""",38.4615384615,,"""Not Disclosed""",,"""Yes""","""Not Disclosed""","""Green""",,"""Orange""","""Yes""",473.4822460914315,,88.706,"""Not Disclosed""",,"""Pass""",0.0,,,154.96,,true,,,,,,3878364.100071829
"","""DUKE ENERGY INDIANA, LLC""","""IID000000002224677""",,"""US26443TAC09""","""6URPHM2EAWGJ2C6ISB97""","""DUK""",,true,2301376.66,64.47,,,42.25,"""Green""",,"""No""",,,,,,,"""Green""",,1.613373E7,386579.0,,,6062.195731505742,"""Pass""",35.7142857143,,"""Not Disclosed""",,"""Not Disclosed""","""Not Disclosed""","""Green""",,"""Green""","""No Evidence""",,,,"""Not Disclosed""",,"""Pass""",0.17,,,,,,,,,,,1.882168566154688E7
"","""PETROLIAM NASIONAL BERHAD (PETRONAS)""","""IID000000002224735""",,"""US716708AF90""","""5493003RZQYJM7QGNE15""","""PTOIM""",,true,1.9612684628E8,,,,83.83,"""Green""",,"""No""",,,,,,,"""Green""",,4.762E7,1960000.0,,,4624.065321136496,"""Pass""",20.0,,"""Not Disclosed""",,"""Yes""","""Yes""","""Green""",,"""Orange""","""No Evidence""",,,,"""Not Disclosed""",,"""Watch List""",4.33,,,,,,,,16.17,59228.0,,2.4132684628020987E8
"","""COLES GROUP LIMITED""","""IID000000002224762""",,"""AU0000030678""","""549300OHQRG2HN8LZ793""","""COL""",,true,5064151.55,,,,0.0,"""Green""",,"""No""",,,,,,,"""Green""",,275854.0,1259762.0,,,252.44744620492048,"""Pass""",50.0,,"""Not Disclosed""",,"""Yes""","""Not Disclosed""","""Green""",,"""Orange""","""Yes""",298.55379740987365,,,"""Not Disclosed""",,"""Pass""",0.02,,,,,,,,,,,6599767.549245211
"","""Mohegan Gaming & Entertainment""","""IID000000002224927""",,"""USU60734AH01""","""549300UB083Z2NRDHC48""","""MOTRG""",,true,500721.04,,,,0.0,"""Green""",,"""No""",,,,,,,"""Green""",,89255.0,183224.0,,,526.4581699034252,"""Pass""",22.2222222222,,"""Not Disclosed""",,"""Yes""","""Not Disclosed""","""Green""",,"""Green""","""No Evidence""",,,,"""Not Disclosed""",,"""Pass""",0.0,,,,,,,,,,,773200.0404571869
"","""PENSKE TRUCK LEASING CO., L.P.""","""IID000000002224976""",,"""USU71000BN97""","""549300ZX07JYMI8GHQ39""","""PENSK""",,true,1.398348215E7,,,,100.0,"""Green""",,"""No""",,0.11,,,100.0,,"""Green""",100.0,109484.0,34024.0,,,573.3726466728806,"""Pass""",,,"""Not Disclosed""",,"""Not Disclosed""","""Not Disclosed""","""Green""",,"""Green""","""No Evidence""",,,,"""Not Disclosed""",,"""Pass""",0.96,,2491.9277797713,2491.9277797713,,,,,,,,1.2884598992201393E7
"","""Petroleos Mexicanos""","""IID000000002225010""",,"""JP548404AGK3""","""549300CAZKPF4HKMPX17""","""PEMEX""",,true,3.6529367185E8,,,,61.47,"""Yellow""",,"""No""",,2.13,,,100.0,,"""Yellow""",100.0,6.98E7,2150000.0,,,3801.1640555056006,"""Pass""",40.0,,"""Not Disclosed""",,"""Yes""","""Yes""","""Yellow""",,"""Red""","""No Evidence""",,,,"""Not Disclosed""",,"""Fail""",0.0,,135916.66667754,135916.66667754,,,,,24.35,,,4.3724367185311943E8
"","""Celulosa Arauco y Constitucion S.A.""","""IID000000002225018""",,"""US151191AZ66""","""549300QEKV8G0AMNQD28""","""COPX""",,true,4771626.1,,,,60.83,"""Green""",,"""No""",,,,,,,"""Green""",,1606692.0,573283.0,,,1044.6385736909604,"""Pass""",22.2222222222,,"""Not Disclosed""",,"""Yes""","""Not Disclosed""","""Green""",,"""Green""","""No Evidence""",,,,"""Not Disclosed""",,"""Pass""",86.95,,,,,,,,,,,6951601.101010386
