CLIENT_IDENTIFIER,ISSUER_NAME,ISSUERID,CIK_NUM,ISSUER_ISIN,ISSUER_LEI,ISSUER_TICKER,AE_DIST_MAX_REV_PCT,ESG_CONTROVERSIES_COVERED,CARBON_EMISSIONS_SCOPE_3_TOTAL,GENERAT_THERMAL_COAL_PCT,FIREARM_PROD_MAX_REV_PCT,IVA_COMPANY_RATING,EU_TAXONOMY_ELIGIBLE_MAX_REV,ENVIRONMENT_TOXIC_FLAG,AE_PROD_MAX_REV_PCT,CONTRO_WEAP_CBLMBW_ANYTIE,FIREARM_RET_MAX_REV_PCT,ENERGY_CONSUMP_INTEN_EUR,GENDER_PAY_GAP_RATIO,MET_COAL_MAX_REV_PCT,PCT_NONRENEW_CONSUMP_PROD,PROD_CIV_ARMS_AUTO,ENVIRONMENT_LAND_FLAG,PCT_TOTL_ERGY_CONSUMP_NONRENEW,CARBON_EMISSIONS_SCOPE_1,CARBON_EMISSIONS_SCOPE_2,TOB_DIST_MAX_REV_PCT,PCT_TOTL_ERGY_PRODUCT_NONRENEW,CARBON_EMISSIONS_SALES_EUR_SCOPE123_INTEN,LABOR_COMPLIANCE_CORE,FEMALE_DIRECTORS_PCT,ANI_TEST_POLICY,OPS_PROT_BIODIV_AREAS,IVA_RATING_TREND,LABOR_DDIL_POL_ILO,ACTIVE_FF_SECTOR_EXPOSURE,ENVIRONMENT_CLIMATE_FLAG,WATER_EM_EFF_METRIC_TONS,OVERALL_FLAG,MECH_UN_GLOBAL_COMPACT,CARBON_EMISSIONS_EVIC_EUR_SCOPE123_INTEN,THERMAL_COAL_MAX_REV_PCT,TOTL_ERGY_CONSUMP_RENEW_GWH,OPS_PROT_BIODIV_CONTROVS,ANI_FACTORY_FARM,UNGC_COMPLIANCE,EST_EU_TAXONOMY_MAX_REV,PRED_LEND_MAX_REV,TOTL_ERGY_CONSUMP_NONRENEW_GWH,TOTL_ERGY_CONSUMP_GWH,CWEAP_TIE,FUR_PRODUCER,NON_PHARMCEUTICAL_TESTER,TOB_SUPP_MAX_REV_PCT,CONV_OIL_GAS_MAX_REV_PCT,HAZARD_WASTE_METRIC_TON,WEAP_MAX_REV_PCT,CARBON_EMISSIONS_SCOPE123
"","""Sprout Social Inc""","""IID000000005009059""",,"""US85209W1099""",,"""SPT""",,true,50215.64,,,,100.0,"""Green""",,"""No""",,,,,,,"""Green""",,167.0,1431.0,,,234.39548033550363,"""Pass""",28.5714285714,,"""Not Disclosed""",,"""Yes""","""Not Disclosed""","""Green""",,"""Green""","""No Evidence""",8.922981856918321,,,"""Not Disclosed""",,"""Pass""",0.0,,,,,,,,,,,38721.012078641346
"","""JMDC Inc.""","""IID000000005009079""",,"""JP3386690006""","""3538002M2SQV6WJ6MQ67""","""4483""",,true,22762.58,,,,0.0,"""Green""",,"""No""",,,,,,,"""Green""",,99.0,1305.0,,,129.84482593583775,"""Pass""",12.5,,"""Not Disclosed""",,"""Yes""","""Not Disclosed""","""Green""",,"""Green""","""No Evidence""",7.084068489976252,,,"""Not Disclosed""",,"""Pass""",0.0,,,,,,,,,,,20973.09317142369
"","""JTOWER Inc.""","""IID000000005009081""",,"""JP3386700003""",,"""4485""",,true,4934.75,,,,100.0,"""Green""",,"""No""",,,,,,,"""Green""",,888.0,235.0,,,194.01715016609313,"""Pass""",14.2857142857,,"""Not Disclosed""",,"""Yes""","""Not Disclosed""","""Green""",,"""Green""","""No Evidence""",5.114183396391521,,,"""Not Disclosed""",,"""Pass""",0.0,,,,,,,,,,,6057.750233025757
"","""BROADMARK REALTY CAPITAL INC.""","""IID000000005009140""",,,,"""RCCMR""",,false,15482.73,,,,0.0,,,"""No""",,,,,,,"""Green""",,39.0,211.0,,,164.06828075567387,"""Pass""",,,"""Not Disclosed""",,"""Yes""","""Not Disclosed""",,,"""Green""","""No Evidence""",14.576859186301078,,,"""Not Disclosed""",,"""Pass""",,,,,,,,,,,,17390.776083624638
"","""CLAROS MORTGAGE TRUST, INC.""","""IID000000005009160""",,"""US18270D1063""","""549300Z9LU2CZ3K30C16""","""CMTG""",,true,74622.24,,,,0.0,"""Green""",,"""No""",,,,,,,"""Green""",,134.0,266.0,,,163.5511979046501,"""Pass""",22.2222222222,,"""Not Disclosed""",,"""Yes""","""Not Disclosed""","""Green""",,"""Green""","""No Evidence""",5.718837563227999,,,"""Not Disclosed""",,"""Pass""",0.0,,,,,,,,,,,35526.21958003118
"","""SRE Holdings Corp""","""IID000000005009176""",,"""JP3161320001""",,"""2980""",,true,39248.1,,,,55.08,"""Green""",,"""No""",,,,,,,"""Green""",,177.0,1064.0,,,402.84537770596995,"""Pass""",20.0,,"""Not Disclosed""",,"""Yes""","""Not Disclosed""","""Green""",,"""Green""","""No Evidence""",83.16545409191926,,,"""Not Disclosed""",,"""Pass""",0.0,,,,,,,,,,,40489.101324650896
"","""OneConnect Financial Technology Co Ltd""","""IID000000005009310""",,"""KYG6755B1106""",,"""6638""",,true,78527.67,,,,0.0,"""Green""",,"""No""",,,,,,,"""Green""",,357.0,4709.0,,,146.61575454640098,"""Pass""",22.2222222222,,"""Not Disclosed""",,"""Yes""","""Not Disclosed""","""Green""",,"""Green""","""No Evidence""",84.9278883650496,,,"""Not Disclosed""",,"""Pass""",0.0,,,,,,,,,,,83593.67123883466
"","""SiTime Corp""","""IID000000005009342""",,"""US82982T1060""",,"""SITM""",,true,131807.11,,,,100.0,"""Green""",,"""No""",,0.01,,,100.0,,"""Green""",100.0,0.0,982.0,,,538.417682338429,"""Pass""",25.0,,"""Not Disclosed""",,"""Yes""","""Not Disclosed""","""Green""",,"""Green""","""No Evidence""",19.3136745274682,,0.0,"""Not Disclosed""",,"""Pass""",0.0,,1.8547222237,1.8547222237,,,,,,,,103597.58448161306
"","""Tyro Payments Ltd""","""IID000000005009377""",,"""AU0000066508""",,"""TYR""",,true,19959.56,,,,0.55,"""Green""",,"""No""",,,,,,,"""Green""",,161.0,419.0,,,136.0242733761562,"""Pass""",57.1428571429,,"""Not Disclosed""",,"""Yes""","""Not Disclosed""","""Green""",,"""Green""","""No Evidence""",17.205051095756694,,,"""Not Disclosed""",,"""Pass""",0.0,,,,,,,,,,,20539.5620486253
"","""Canaan Inc""","""IID000000005009379""",,"""US1347481020""","""254900OEOGK9ALNMUN24""","""CAN""",,true,354285.62,,,,95.01,"""Green""",,"""No""",,,,,,,"""Green""",,1237.0,8123.0,,,690.7483471140364,"""Pass""",20.0,,"""Not Disclosed""",,"""Yes""","""Not Disclosed""","""Green""",,"""Green""","""No Evidence""",692.2999207457124,,,"""Not Disclosed""",,"""Pass""",0.0,,,,,,,,,,,475256.9725927241
