CLIENT_IDENTIFIER,ISSUER_NAME,ISSUERID,CIK_NUM,ISSUER_ISIN,ISSUER_LEI,ISSUER_TICKER,AE_DIST_MAX_REV_PCT,ESG_CONTROVERSIES_COVERED,CARBON_EMISSIONS_SCOPE_3_TOTAL,GENERAT_THERMAL_COAL_PCT,FIREARM_PROD_MAX_REV_PCT,IVA_COMPANY_RATING,EU_TAXONOMY_ELIGIBLE_MAX_REV,ENVIRONMENT_TOXIC_FLAG,AE_PROD_MAX_REV_PCT,CONTRO_WEAP_CBLMBW_ANYTIE,FIREARM_RET_MAX_REV_PCT,ENERGY_CONSUMP_INTEN_EUR,GENDER_PAY_GAP_RATIO,MET_COAL_MAX_REV_PCT,PCT_NONRENEW_CONSUMP_PROD,PROD_CIV_ARMS_AUTO,ENVIRONMENT_LAND_FLAG,PCT_TOTL_ERGY_CONSUMP_NONRENEW,CARBON_EMISSIONS_SCOPE_1,CARBON_EMISSIONS_SCOPE_2,TOB_DIST_MAX_REV_PCT,PCT_TOTL_ERGY_PRODUCT_NONRENEW,CARBON_EMISSIONS_SALES_EUR_SCOPE123_INTEN,LABOR_COMPLIANCE_CORE,FEMALE_DIRECTORS_PCT,ANI_TEST_POLICY,OPS_PROT_BIODIV_AREAS,IVA_RATING_TREND,LABOR_DDIL_POL_ILO,ACTIVE_FF_SECTOR_EXPOSURE,ENVIRONMENT_CLIMATE_FLAG,WATER_EM_EFF_METRIC_TONS,OVERALL_FLAG,MECH_UN_GLOBAL_COMPACT,CARBON_EMISSIONS_EVIC_EUR_SCOPE123_INTEN,THERMAL_COAL_MAX_REV_PCT,TOTL_ERGY_CONSUMP_RENEW_GWH,OPS_PROT_BIODIV_CONTROVS,ANI_FACTORY_FARM,UNGC_COMPLIANCE,EST_EU_TAXONOMY_MAX_REV,PRED_LEND_MAX_REV,TOTL_ERGY_CONSUMP_NONRENEW_GWH,TOTL_ERGY_CONSUMP_GWH,CWEAP_TIE,FUR_PRODUCER,NON_PHARMCEUTICAL_TESTER,TOB_SUPP_MAX_REV_PCT,CONV_OIL_GAS_MAX_REV_PCT,HAZARD_WASTE_METRIC_TON,WEAP_MAX_REV_PCT,CARBON_EMISSIONS_SCOPE123
"","""Shanxi Lu'an Environmental Energy Dev. Co., Ltd""","""IID000000002183388""",,"""CNE000001NT7""",,"""601699""",,true,1.154953786E8,,,,0.0,"""Green""",,"""No""",,,,57.38,,,"""Green""",,6284669.0,719804.0,,,17905.508641618017,"""Pass""",0.0,,"""Not Disclosed""",,"""Not Disclosed""","""Yes""","""Green""",,"""Green""","""No Evidence""",15115.656705371915,34.46,,"""Not Disclosed""",,"""Pass""",0.0,,,,,,,,,,,1.2249985160197392E8
"","""Sharjah Islamic Bank PJSC""","""IID000000002183396""",,"""AES000201013""","""254900ZQNTQPRR3WFS97""","""SIB""",,true,282310.54,,,,0.0,"""Green""",,"""No""",,0.03,,,,,"""Green""",,419.0,3001.0,,,477.2759476172248,"""Pass""",0.0,,"""Not Disclosed""",,"""Yes""","""Not Disclosed""","""Green""",,"""Green""","""No Evidence""",61.55717230181999,,,"""Not Disclosed""",,"""Pass""",0.0,,,12.804197,,,,,,,,285730.54224508087
"","""Sharp Corporation""","""IID000000002183399""",,"""JP3359600008""","""353800YEPK9PD7QO3449""","""6753""",,true,9102410.89,,,,99.99,"""Green""",,"""No""",,,,,,,"""Green""",,278793.0,832686.0,,,585.6754193269904,"""Pass""",0.0,,"""Not Disclosed""",,"""Yes""","""Not Disclosed""","""Green""",,"""Green""","""Yes""",1103.494498776308,,,"""Not Disclosed""",,"""Pass""",1.98,,,,,,,,,,,1.1033411130409783E7
"","""SHARPS COMPLIANCE LLC""","""IID000000002183405""",,,,"""SHSCL""",,true,,,,,,"""Green""",,,,,,,,,"""Green""",,,,,,,"""Pass""",,,,,,,"""Green""",,"""Green""",,,,,,,"""Pass""",,,,,,,,,,,,
"","""SHAW COMMUNICATIONS INC.""","""IID000000002183408""",,"""CA82028K2002""","""549300SCT0RG6178CI40""","""SJR""",0.99,true,854077.33,,,,100.0,"""Green""",,"""No""",,,,,,,"""Green""",,20233.0,80122.0,,,259.73565372066133,"""Pass""",23.0769230769,,"""Not Disclosed""",,"""Yes""","""Not Disclosed""","""Green""",,"""Green""","""No Evidence""",58.35695264166482,,,"""Not Disclosed""",,"""Pass""",0.0,,,,,,,,,,,959245.3268949975
"","""CHINA OVERSEAS GRAND OCEANS GROUP LIMITED""","""IID000000002183422""",,"""HK0000065737""",,"""81""",,true,2042991.45,,,,99.98,"""Green""",,"""No""",,0.0,,,100.0,,"""Green""",100.0,1483.0,2989.0,,,281.51404873716217,"""Pass""",0.0,,"""Not Disclosed""",,"""Yes""","""Not Disclosed""","""Green""",,"""Green""","""No Evidence""",238.94455443408407,,,"""Not Disclosed""",,"""Pass""",0.0,,0.257,0.257,,,,,,,,2090853.2607833764
"","""Shenandoah Telecommunications Company""","""IID000000002183433""",,"""US82312B1061""","""549300XH3H4OUKFPHS84""","""SHEN""",,true,38632.15,,,,100.0,"""Green""",,"""No""",,,,,,,"""Green""",,1198.0,13247.0,,,231.41248416808182,"""Pass""",25.0,,"""Not Disclosed""",,"""Yes""","""Not Disclosed""","""Green""",,"""Green""","""No Evidence""",42.64700820533305,,,"""Not Disclosed""",,"""Pass""",0.0,,,,,,,,,,,49904.67606171663
"","""Shenzhen Kaifa Technology Co., Ltd.""","""IID000000002183460""",,"""CNE000000FK4""",,"""000021""",,true,1123971.22,,,,100.0,"""Green""",,"""No""",,,,,,,"""Green""",,4645.0,29960.0,,,572.8600733706853,"""Pass""",0.0,,"""Not Disclosed""",,"""Yes""","""Not Disclosed""","""Green""",,"""Green""","""No Evidence""",258.06877930361094,,,"""Not Disclosed""",,"""Pass""",0.03,,,,,,,,,,,1303216.367229719
"","""Shenzhen Overseas Chinese Town Co., Ltd.""","""IID000000002183465""",,"""CNE000000SS0""",,"""000069""",,true,2739503.68,,,,64.55,"""Green""",,"""No""",,,,,,,"""Green""",,65747.0,238753.0,,,308.097246747293,"""Pass""",16.6666666667,,"""Not Disclosed""",,"""Yes""","""Not Disclosed""","""Green""",,"""Yellow""","""No Evidence""",107.74585899950168,,,"""Not Disclosed""",,"""Pass""",0.0,,,,,,,,,,,3044003.6846962217
"","""Tianma Microelectronics Co., Ltd.""","""IID000000002183472""",,"""CNE000000HT1""","""300300KWFVVYL0LL8S83""","""000050""",,true,1862595.18,,,,100.0,"""Green""",,"""No""",,,,,,,"""Green""",,17330.0,250394.0,,,485.0912317491466,"""Pass""",25.0,,"""Not Disclosed""",,"""Yes""","""Not Disclosed""","""Green""",,"""Green""","""No Evidence""",235.86768365110842,,,"""Not Disclosed""",,"""Pass""",0.0,,,,,,,,,,,2130319.179907427
