CLIENT_IDENTIFIER,ISSUER_NAME,ISSUERID,CIK_NUM,ISSUER_ISIN,ISSUER_LEI,ISSUER_TICKER,AE_DIST_MAX_REV_PCT,ESG_CONTROVERSIES_COVERED,CARBON_EMISSIONS_SCOPE_3_TOTAL,GENERAT_THERMAL_COAL_PCT,FIREARM_PROD_MAX_REV_PCT,IVA_COMPANY_RATING,EU_TAXONOMY_ELIGIBLE_MAX_REV,ENVIRONMENT_TOXIC_FLAG,AE_PROD_MAX_REV_PCT,CONTRO_WEAP_CBLMBW_ANYTIE,FIREARM_RET_MAX_REV_PCT,ENERGY_CONSUMP_INTEN_EUR,GENDER_PAY_GAP_RATIO,MET_COAL_MAX_REV_PCT,PCT_NONRENEW_CONSUMP_PROD,PROD_CIV_ARMS_AUTO,ENVIRONMENT_LAND_FLAG,PCT_TOTL_ERGY_CONSUMP_NONRENEW,CARBON_EMISSIONS_SCOPE_1,CARBON_EMISSIONS_SCOPE_2,TOB_DIST_MAX_REV_PCT,PCT_TOTL_ERGY_PRODUCT_NONRENEW,CARBON_EMISSIONS_SALES_EUR_SCOPE123_INTEN,LABOR_COMPLIANCE_CORE,FEMALE_DIRECTORS_PCT,ANI_TEST_POLICY,OPS_PROT_BIODIV_AREAS,IVA_RATING_TREND,LABOR_DDIL_POL_ILO,ACTIVE_FF_SECTOR_EXPOSURE,ENVIRONMENT_CLIMATE_FLAG,WATER_EM_EFF_METRIC_TONS,OVERALL_FLAG,MECH_UN_GLOBAL_COMPACT,CARBON_EMISSIONS_EVIC_EUR_SCOPE123_INTEN,THERMAL_COAL_MAX_REV_PCT,TOTL_ERGY_CONSUMP_RENEW_GWH,OPS_PROT_BIODIV_CONTROVS,ANI_FACTORY_FARM,UNGC_COMPLIANCE,EST_EU_TAXONOMY_MAX_REV,PRED_LEND_MAX_REV,TOTL_ERGY_CONSUMP_NONRENEW_GWH,TOTL_ERGY_CONSUMP_GWH,CWEAP_TIE,FUR_PRODUCER,NON_PHARMCEUTICAL_TESTER,TOB_SUPP_MAX_REV_PCT,CONV_OIL_GAS_MAX_REV_PCT,HAZARD_WASTE_METRIC_TON,WEAP_MAX_REV_PCT,CARBON_EMISSIONS_SCOPE123
"","""Inversora Electrica de Buenos Aires S.A.""","""IID000000002228315""",,"""ARIEBA010047""",,"""IEBA3""",,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"","""Inversiones CMPC S.A.""","""IID000000002228316""",,"""MX91CM2S0017""","""549300G475ACIABB4385""",,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"","""LUXFER HOLDINGS PLC""","""IID000000002228339""",,"""GB00BNK03D49""","""21380045UF5SJYZOXE41""","""LXFR""",,true,387726.96,,,,0.0,"""Green""",,"""No""",,0.55,5.1,,100.0,,"""Green""",100.0,72222.0,31431.0,,,1493.7110050000122,"""Pass""",33.3333333333,,"""Not Disclosed""",,"""Yes""","""Not Disclosed""","""Green""",,"""Green""","""No Evidence""",885.1460116110768,,,"""Not Disclosed""",,"""Pass""",0.62,,179.6,179.6,,,,,,,,491379.95688577316
"","""STANDARD CHARTERED BANK""","""IID000000002228428""",,"""XS1935130267""","""RILFO74KP1CM8P6PCT96""","""STAN""",,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"","""NESTLE HOLDINGS, INC.""","""IID000000002228432""",,"""US641062AN41""","""549300EAEU8YV8MQXP30""","""NESN""",,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"","""Stadshypotek AB""","""IID000000002228442""",,"""SE0011062892""","""549300UOX05QGUJJ5707""",,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"","""Landesbank Berlin AG""","""IID000000002228498""",,"""DE000A30VRH7""","""GTQYZJON3I7SXRNJTT73""","""EWRSF""",,true,752182.2,,,,0.0,"""Green""",,"""No""",,,,,,,"""Green""",,1095.0,7638.0,,,555.9885429058852,"""Pass""",10.0,,"""Not Disclosed""",,"""Yes""","""Not Disclosed""","""Green""",,"""Green""","""No Evidence""",,,,"""Not Disclosed""",,"""Pass""",0.0,,,,,,,,,,,760915.2029120398
"","""WILLIS NORTH AMERICA INC.""","""IID000000002228535""",,"""US970648AL56""","""5493004KVU1HWZCP0C66""",,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"","""Energie AG Oberoesterreich""","""IID000000002228542""",,"""XS0213737702""","""529900N8OA1GVSR5R946""","""OOLAN""",,false,1099384.07,,,,,,,,,,,,,,,,1357555.0,100849.0,,,1075.9234597177237,,,,,,,,,,,,,,,,,,5.54,,,,,,,,,,,2318469.0709951483
"","""STATNETT SF""","""IID000000002228546""",,"""XS2582544818""","""5967007LIEEXZXHAI017""","""STASF""",,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"","""ELECTRICITY NORTH WEST LIMITED""","""IID000000002228554""",,"""XS0058957316""","""549300ZM2QCFG22BOJ03""","""NWENT""",,true,190708.88,,,,100.0,"""Green""",,"""No""",,0.08,10.6,,100.0,,"""Green""",100.0,11012.0,271968.0,,,796.045576398426,"""Pass""",18.1818181818,,"""Not Disclosed""",,"""Yes""","""Not Disclosed""","""Green""",,"""Yellow""","""No Evidence""",,,,"""Not Disclosed""",,"""Pass""",0.0,,43.131771,43.131771,,,,,,,,444172.8982118911
"","""B.A.T. INTERNATIONAL FINANCE P.L.C.""","""IID000000002228579""",,"""XS0468426266""","""21380041YBGOQDFAC823""","""59BN""",,false,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,true,,,,,
"","""ING BELGIQUE NV""","""IID000000002228622""",,"""BE0002722032""","""JLS56RAMYQZECFUF2G44""",,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
