CLIENT_IDENTIFIER,ISSUER_NAME,ISSUERID,CIK_NUM,ISSUER_ISIN,ISSUER_LEI,ISSUER_TICKER,AE_DIST_MAX_REV_PCT,ESG_CONTROVERSIES_COVERED,CARBON_EMISSIONS_SCOPE_3_TOTAL,GENERAT_THERMAL_COAL_PCT,FIREARM_PROD_MAX_REV_PCT,IVA_COMPANY_RATING,EU_TAXONOMY_ELIGIBLE_MAX_REV,ENVIRONMENT_TOXIC_FLAG,AE_PROD_MAX_REV_PCT,CONTRO_WEAP_CBLMBW_ANYTIE,FIREARM_RET_MAX_REV_PCT,ENERGY_CONSUMP_INTEN_EUR,GENDER_PAY_GAP_RATIO,MET_COAL_MAX_REV_PCT,PCT_NONRENEW_CONSUMP_PROD,PROD_CIV_ARMS_AUTO,ENVIRONMENT_LAND_FLAG,PCT_TOTL_ERGY_CONSUMP_NONRENEW,CARBON_EMISSIONS_SCOPE_1,CARBON_EMISSIONS_SCOPE_2,TOB_DIST_MAX_REV_PCT,PCT_TOTL_ERGY_PRODUCT_NONRENEW,CARBON_EMISSIONS_SALES_EUR_SCOPE123_INTEN,LABOR_COMPLIANCE_CORE,FEMALE_DIRECTORS_PCT,ANI_TEST_POLICY,OPS_PROT_BIODIV_AREAS,IVA_RATING_TREND,LABOR_DDIL_POL_ILO,ACTIVE_FF_SECTOR_EXPOSURE,ENVIRONMENT_CLIMATE_FLAG,WATER_EM_EFF_METRIC_TONS,OVERALL_FLAG,MECH_UN_GLOBAL_COMPACT,CARBON_EMISSIONS_EVIC_EUR_SCOPE123_INTEN,THERMAL_COAL_MAX_REV_PCT,TOTL_ERGY_CONSUMP_RENEW_GWH,OPS_PROT_BIODIV_CONTROVS,ANI_FACTORY_FARM,UNGC_COMPLIANCE,EST_EU_TAXONOMY_MAX_REV,PRED_LEND_MAX_REV,TOTL_ERGY_CONSUMP_NONRENEW_GWH,TOTL_ERGY_CONSUMP_GWH,CWEAP_TIE,FUR_PRODUCER,NON_PHARMCEUTICAL_TESTER,TOB_SUPP_MAX_REV_PCT,CONV_OIL_GAS_MAX_REV_PCT,HAZARD_WASTE_METRIC_TON,WEAP_MAX_REV_PCT,CARBON_EMISSIONS_SCOPE123
"","""DSW Capital PLC""","""IID000000005075044""",,"""GB00BNG9H550""","""213800KKIQCIJT6TGH23""",,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"","""KUA Profesiinyi Fondovyi Menedzher TOV""","""IID000000005075045""",,"""UA4000186639""",,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"","""Kapruka Holdings PLC""","""IID000000005075070""",,"""LK0482N00006""",,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"","""Brookfield Business Corp""","""IID000000005075071""",,"""CA11259V1067""",,"""BBUC""",,true,1554151.28,,,,0.0,"""Green""",,"""No""",,,,,,,"""Green""",,466429.0,150859.0,,,436.9614023635733,"""Pass""",22.2222222222,,"""Not Disclosed""",,"""Yes""","""Not Disclosed""","""Green""",,"""Green""","""No Evidence""",,,,"""Not Disclosed""",,"""Pass""",1.4,,,,,,,,,,,3677918.5712396656
"","""LOLC General Insurance Ltd""","""IID000000005075072""",,"""LK0480N00000""",,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"","""C*Core Technology Co Ltd""","""IID000000005075095""",,"""CNE1000055F3""",,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
"","""SIGNA Sports United N.V.""","""IID000000005075097""",,"""NL0015000LX8""","""98450001A668O1060629""",,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"","""Idna Genomics Public Ltd""","""IID000000005075099""",,"""CY0109800710""","""2549006HMJWPY9CIB812""",,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"","""Wherrelz IT Solutions Ltd""","""IID000000005075103""",,"""INE0IM001015""",,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"","""Administer Oy""","""IID000000005075136""",,"""FI4000513411""","""743700M4YLEWP2UNWG60""",,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"","""Softbinator Technologies SA""","""IID000000005075137""",,"""RO1C3WJVLSM1""","""787200T37H3BXZY7BD68""",,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"","""MTI Investment SE""","""IID000000005075138""",,"""SE0017105539""","""984500EBO8C0B9737A84""",,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"","""Public Policy Holding Company Inc""","""IID000000005075139""",,"""US7444301094""","""2138008Z7B1IXVVJAZ79""",,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"","""Vandor Real Estate Socimi SA""","""IID000000005075140""",,"""ES0105623005""","""959800PBBKMJP5WHHD60""",,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"","""Port Anthony Renewables Ltd""","""IID000000005075145""",,,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"","""M7 Regional E-Warehouse REIT PLC""","""IID000000005075155""",,"""GB00BLN7H037""","""213800QBGS5T4OH83L31""",,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"","""Chervon Holdings Ltd""","""IID000000005075169""",,"""HK0000811882""","""254900QZTJZRI14G4020""","""2285""",,true,1807451.89,,,,100.0,"""Green""",,"""No""",,0.02,,,100.0,,"""Green""",100.0,164.0,24419.0,,,979.3285481531949,"""Pass""",14.2857142857,,"""Not Disclosed""",,"""Yes""","""Not Disclosed""","""Green""",,"""Green""","""No Evidence""",639.889241582066,,,"""Not Disclosed""",,"""Pass""",2.84,,37.220652,37.220652,,,,,,300000.0,,1832034.8931115342
"","""Amylyx Pharmaceuticals Inc""","""IID000000005075170""",,"""US03237H1014""",,"""AMLX""",,true,5239.66,,,,0.0,"""Green""",,"""No""",,,,,,,"""Green""",,417.0,863.0,,,313.0053433585934,"""Pass""",33.3333333333,,"""Not Disclosed""",,"""Not Disclosed""","""Not Disclosed""","""Green""",,"""Green""","""No Evidence""",2.82402693534304,,,"""Not Disclosed""",,"""Pass""",0.0,,,,,,,,,,,6519.661544010355
"","""Trojan Gold Inc""","""IID000000005075171""",,"""CA8970021017""","""98450098870EE7583B97""",,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"","""Freedom Internet Group Inc""","""IID000000005075172""",,"""US35639G1094""","""549300OQOLXY3WMKVZ90""",,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
"","""Clara Industries Ltd""","""IID000000005075176""",,"""INE0JJS01014""",,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"","""BOWLERO CORP.""","""IID000000005075180""",,"""US10258P1021""",,"""BOWL""",,true,289707.04,,,,13.05,"""Green""",,"""No""",,,,,,,"""Green""",,14424.0,38037.0,,,392.3611448343569,"""Pass""",22.2222222222,,"""Not Disclosed""",,"""Yes""","""Not Disclosed""","""Green""",,"""Green""","""No Evidence""",109.55196739856885,,,"""Not Disclosed""",,"""Pass""",0.0,,,,,,,,,,,342168.04185464606
"","""INTER PIPELINE LTD""","""IID000000005075187""",,"""CA45833VAA76""","""QQTTPMZD0WKQL0H5S472""","""BIP""",,true,,,,,7.46,"""Green""",,"""No""",,,,,,,"""Green""",,554857.0,579154.0,,,,"""Pass""",33.3333333333,,,,,,"""Green""",,"""Green""",,,,,,,"""Pass""",0.0,,,,,,,,,,,
"","""KANSAS CITY SOUTHERN""","""IID000000005075188""",,"""US485170AG90""",,"""CP""",,true,1039308.39,,,,100.0,"""Green""",,"""No""",,2.02,,,,,"""Green""",,1421396.0,29340.0,,,928.7691736912162,"""Pass""",30.0,,"""Not Disclosed""",,"""Yes""","""Yes""","""Green""",,"""Green""","""No Evidence""",115.85597758652425,,,"""Not Disclosed""",,"""Pass""",0.0,,,5244.9208626,,,,,,,,2407106.389043409
"","""GRUPPA POZITIV PAO""","""IID000000005075189""",,"""RU000A103X66""",,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"","""Great Southern Copper PLC""","""IID000000005075190""",,"""GB00BLB5BF24""","""213800RF6N9WA8PZH313""",,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"","""Justworks Inc""","""IID000000005075191""",,,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"","""Xiamen Voke Mold & Plastic Engineering Co Ltd""","""IID000000005075197""",,"""CNE100005758""","""836800NAYEKDLPAQWK75""",,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
"","""Allup Silica Ltd""","""IID000000005075204""",,"""AU0000198525""","""5493001ZXYLYKJURBW73""",,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
"","""FIRSTCASH HOLDINGS, INC.""","""IID000000005075206""",,"""US33768G1076""",,"""FCFS""",,true,287002.12,,,,0.0,"""Green""",,"""No""",0.99,,,,,,"""Green""",,3111.0,6505.0,,,135.6548525798537,"""Pass""",22.2222222222,,"""Not Disclosed""",,"""Yes""","""Not Disclosed""","""Green""",,"""Orange""","""No Evidence""",43.97292649296456,,,"""Not Disclosed""",,"""Pass""",0.0,2.046705E9,,,,,,,,,,201590.36367287659
"","""WAVEDANCER, INC.""","""IID000000005075207""",,"""US4566962027""",,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"","""Canter Resources Corp""","""IID000000005075228""",,"""CA13810W1023""","""984500J2D0BFDF0E8414""",,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"","""Ronchess Global Resources PLC""","""IID000000005075231""",,"""NGRONCHESS06""",,,,false,,,,,,,,,,,,,,,"""Green""",,,,,,,"""Pass""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"","""Cloudwalk Technology Co.,Ltd.""","""IID000000005075252""",,"""CNE100005QP8""",,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"","""Almunajem Foods Company SJSC""","""IID000000005075271""",,"""SA15DGU21117""",,"""4162""",,true,226852.22,,,,0.0,"""Green""",,"""No""",,,,,,,"""Green""",,11631.0,10897.0,,,413.1631529129194,"""Pass""",0.0,,"""Not Disclosed""",,"""Not Disclosed""","""Not Disclosed""","""Green""",,"""Green""","""No Evidence""",301.100203732186,,,"""Not Disclosed""",,"""Pass""",0.0,,,,,,,,,,,249380.2217371084
"","""Jiangsu Yahong Meditech Co Ltd""","""IID000000005075272""",,"""CNE100005XW0""",,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"","""Fujian Tendering Co Ltd""","""IID000000005075274""",,"""CNE1000056X4""",,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
