CLIENT_IDENTIFIER,ISSUER_NAME,ISSUERID,CIK_NUM,ISSUER_ISIN,ISSUER_LEI,ISSUER_TICKER,AE_DIST_MAX_REV_PCT,ESG_CONTROVERSIES_COVERED,CARBON_EMISSIONS_SCOPE_3_TOTAL,GENERAT_THERMAL_COAL_PCT,FIREARM_PROD_MAX_REV_PCT,IVA_COMPANY_RATING,EU_TAXONOMY_ELIGIBLE_MAX_REV,ENVIRONMENT_TOXIC_FLAG,AE_PROD_MAX_REV_PCT,CONTRO_WEAP_CBLMBW_ANYTIE,FIREARM_RET_MAX_REV_PCT,ENERGY_CONSUMP_INTEN_EUR,GENDER_PAY_GAP_RATIO,MET_COAL_MAX_REV_PCT,PCT_NONRENEW_CONSUMP_PROD,PROD_CIV_ARMS_AUTO,ENVIRONMENT_LAND_FLAG,PCT_TOTL_ERGY_CONSUMP_NONRENEW,CARBON_EMISSIONS_SCOPE_1,CARBON_EMISSIONS_SCOPE_2,TOB_DIST_MAX_REV_PCT,PCT_TOTL_ERGY_PRODUCT_NONRENEW,CARBON_EMISSIONS_SALES_EUR_SCOPE123_INTEN,LABOR_COMPLIANCE_CORE,FEMALE_DIRECTORS_PCT,ANI_TEST_POLICY,OPS_PROT_BIODIV_AREAS,IVA_RATING_TREND,LABOR_DDIL_POL_ILO,ACTIVE_FF_SECTOR_EXPOSURE,ENVIRONMENT_CLIMATE_FLAG,WATER_EM_EFF_METRIC_TONS,OVERALL_FLAG,MECH_UN_GLOBAL_COMPACT,CARBON_EMISSIONS_EVIC_EUR_SCOPE123_INTEN,THERMAL_COAL_MAX_REV_PCT,TOTL_ERGY_CONSUMP_RENEW_GWH,OPS_PROT_BIODIV_CONTROVS,ANI_FACTORY_FARM,UNGC_COMPLIANCE,EST_EU_TAXONOMY_MAX_REV,PRED_LEND_MAX_REV,TOTL_ERGY_CONSUMP_NONRENEW_GWH,TOTL_ERGY_CONSUMP_GWH,CWEAP_TIE,FUR_PRODUCER,NON_PHARMCEUTICAL_TESTER,TOB_SUPP_MAX_REV_PCT,CONV_OIL_GAS_MAX_REV_PCT,HAZARD_WASTE_METRIC_TON,WEAP_MAX_REV_PCT,CARBON_EMISSIONS_SCOPE123
"","""W-Scope Chungju Plant Co Ltd""","""IID000000005092373""",,"""KR7393890009""",,"""393890""",,true,152511.06,,,,100.0,"""Green""",,"""No""",,,,,,,"""Green""",,39576.0,41271.0,,,1223.2386326298895,"""Pass""",0.0,,"""Not Disclosed""",,"""Not Disclosed""","""Not Disclosed""","""Green""",,"""Green""","""No Evidence""",217.7070933735661,,,"""Not Disclosed""",,"""Pass""",48.0,,,,,,,,,,,233358.0563161918
"","""JACOBS SOLUTIONS INC.""","""IID000000005092474""",,"""US46982L1089""",,"""J""",,true,2169677.3,,,,0.0,"""Green""",,"""No""",,0.01,,,44.2199051352,,"""Green""",44.2199051352,14754.0,34683.0,,,145.67982907135644,"""Pass""",30.7692307692,,"""Not Disclosed""",,"""Yes""","""Not Disclosed""","""Green""",,"""Yellow""","""No Evidence""",116.48447590506849,,81.261,"""Not Disclosed""",,"""Pass""",15.18,,64.42,145.681,,,,,,,5.98,2219114.2996589653
"","""Westrock Coffee Co""","""IID000000005092661""",,"""US96145W1036""",,"""WEST""",,true,640768.61,,,,0.0,"""Green""",,"""No""",,,,,,,"""Green""",,31331.0,25513.0,,,1136.3409291423998,"""Pass""",30.0,,"""Not Disclosed""",,"""Yes""","""Not Disclosed""","""Green""",,"""Green""","""No Evidence""",518.0355746781851,,,"""Not Disclosed""",,"""Pass""",7.51,,,,,,,,,,,697612.6066403779
"","""Shizuoka Financial Group, Inc.""","""IID000000005092777""",,"""JP3351500008""","""353800MNO5C8V2SHGA81""","""5831""",,true,2647199.13,,,,0.0,"""Green""",,"""No""",,,,,,,"""Green""",,1919.0,8367.0,,,1497.7084130132828,"""Pass""",20.0,,"""Not Disclosed""",,"""Not Disclosed""","""Not Disclosed""","""Green""",,"""Green""","""No Evidence""",144.9135276671425,,,"""Not Disclosed""",,"""Pass""",0.0,,,,,,,,,,,2657485.134041679
"","""Chugin Financial Group,Inc.""","""IID000000005092778""",,"""JP3520700000""",,"""5832""",,true,2213231.08,,,,0.0,"""Green""",,"""No""",,,,,,,"""Green""",,995.0,4493.0,,,2331.3857856940413,"""Pass""",11.1111111111,,"""Not Disclosed""",,"""Yes""","""Not Disclosed""","""Green""",,"""Green""","""No Evidence""",166.3805126997446,,,"""Not Disclosed""",,"""Pass""",0.0,,,,,,,,,,,2218719.076758761
"","""Iyogin Holdings,Inc.""","""IID000000005092779""",,"""JP3149700001""",,"""5830""",,true,3160050.06,,,,0.0,"""Green""",,"""No""",,,,,,,"""Green""",,1266.0,7700.0,,,3214.7239954448437,"""Pass""",25.0,,"""Not Disclosed""",,"""Yes""","""Not Disclosed""","""Green""",,"""Green""","""No Evidence""",364.8195609394524,,,"""Not Disclosed""",,"""Pass""",0.0,,,,,,,,,,,3169016.060687382
"","""Aichi Financial Group, Inc.""","""IID000000005092780""",,"""JP3104790005""",,"""7389""",,true,62719.61,,,,0.0,"""Green""",,"""No""",,,,,,,"""Green""",,,,,,,"""Pass""",13.3333333333,,"""Not Disclosed""",,"""Not Disclosed""","""Not Disclosed""","""Green""",,"""Green""","""No Evidence""",,,,"""Not Disclosed""",,"""Pass""",0.0,,,,,,,,,,,
"","""Cool Company Ltd""","""IID000000005092795""",,"""BMG2415A1137""","""549300AQHDVKVCNIU608""","""CLCO""",,true,55691.6,,,,100.0,"""Green""",,"""No""",,,,,,,"""Green""",,991934.0,477.0,,,7307.896527630253,"""Pass""",14.2857142857,,"""Not Disclosed""",,"""Yes""","""Yes""","""Green""",,"""Green""","""Yes""",,,,"""Not Disclosed""",,"""Pass""",0.0,,,,,,,,,,,1040790.4692355985
"","""Socionext Inc""","""IID000000005092949""",,"""JP3433500000""",,"""6526""",,true,662852.48,,,,100.0,"""Green""",,"""No""",,,,,,,"""Green""",,235.0,8299.0,,,503.60939117691174,"""Pass""",20.0,,"""Not Disclosed""",,"""Yes""","""Not Disclosed""","""Green""",,"""Green""","""No Evidence""",296.3563767811145,,,"""Not Disclosed""",,"""Pass""",0.0,,,,,,,,,,,671386.4809063113
"","""TECHNICOLOR CREATIVE STUDIOS SA""","""IID000000005093058""",,"""FR001400I939""","""54930064SP2SSEVKFJ48""","""TCHCS""",,true,97441.41,,,,100.0,"""Green""",,"""No""",,0.37,,,77.786808188,,"""Green""",77.786808188,4756.0,85313.0,,,311.99607961298733,"""Pass""",42.8571428571,,"""Not Disclosed""",,"""Yes""","""Not Disclosed""","""Green""",,"""Yellow""","""No Evidence""",,,48.8320000039,"""Not Disclosed""",,"""Pass""",0.0,,171.001333347,219.8333333509,,,,,,160.8,,187510.41204034627
