CLIENT_IDENTIFIER,ISSUER_NAME,ISSUERID,CIK_NUM,ISSUER_ISIN,ISSUER_LEI,ISSUER_TICKER,AE_DIST_MAX_REV_PCT,ESG_CONTROVERSIES_COVERED,CARBON_EMISSIONS_SCOPE_3_TOTAL,GENERAT_THERMAL_COAL_PCT,FIREARM_PROD_MAX_REV_PCT,IVA_COMPANY_RATING,EU_TAXONOMY_ELIGIBLE_MAX_REV,ENVIRONMENT_TOXIC_FLAG,AE_PROD_MAX_REV_PCT,CONTRO_WEAP_CBLMBW_ANYTIE,FIREARM_RET_MAX_REV_PCT,ENERGY_CONSUMP_INTEN_EUR,GENDER_PAY_GAP_RATIO,MET_COAL_MAX_REV_PCT,PCT_NONRENEW_CONSUMP_PROD,PROD_CIV_ARMS_AUTO,ENVIRONMENT_LAND_FLAG,PCT_TOTL_ERGY_CONSUMP_NONRENEW,CARBON_EMISSIONS_SCOPE_1,CARBON_EMISSIONS_SCOPE_2,TOB_DIST_MAX_REV_PCT,PCT_TOTL_ERGY_PRODUCT_NONRENEW,CARBON_EMISSIONS_SALES_EUR_SCOPE123_INTEN,LABOR_COMPLIANCE_CORE,FEMALE_DIRECTORS_PCT,ANI_TEST_POLICY,OPS_PROT_BIODIV_AREAS,IVA_RATING_TREND,LABOR_DDIL_POL_ILO,ACTIVE_FF_SECTOR_EXPOSURE,ENVIRONMENT_CLIMATE_FLAG,WATER_EM_EFF_METRIC_TONS,OVERALL_FLAG,MECH_UN_GLOBAL_COMPACT,CARBON_EMISSIONS_EVIC_EUR_SCOPE123_INTEN,THERMAL_COAL_MAX_REV_PCT,TOTL_ERGY_CONSUMP_RENEW_GWH,OPS_PROT_BIODIV_CONTROVS,ANI_FACTORY_FARM,UNGC_COMPLIANCE,EST_EU_TAXONOMY_MAX_REV,PRED_LEND_MAX_REV,TOTL_ERGY_CONSUMP_NONRENEW_GWH,TOTL_ERGY_CONSUMP_GWH,CWEAP_TIE,FUR_PRODUCER,NON_PHARMCEUTICAL_TESTER,TOB_SUPP_MAX_REV_PCT,CONV_OIL_GAS_MAX_REV_PCT,HAZARD_WASTE_METRIC_TON,WEAP_MAX_REV_PCT,CARBON_EMISSIONS_SCOPE123
"","""OFFSHORE OIL ENGINEERING CO.,LTD.""","""IID000000002151692""",,"""CNE0000019T2""",,"""600583""",,true,883109.56,,,,100.0,"""Green""",,"""No""",,,,,,,"""Green""",,79473.0,21064.0,,,274.5658660947639,"""Pass""",0.0,,"""Not Disclosed""",,"""Not Disclosed""","""Not Disclosed""","""Green""",,"""Green""","""Yes""",255.63962875647934,,,"""Not Disclosed""",,"""Pass""",0.0,,,,,,,,,,,749908.6253719819
"","""ITISSALAT AL MAGHRIB (STE) SA""","""IID000000002151693""",,"""MA0000011488""","""254900LH0G1ZIZ78Y462""","""IAM""",,true,553826.32,,,,100.0,"""Green""",,"""No""",,,,,,,"""Green""",,7957.0,429285.0,,,312.88271826254754,"""Pass""",11.1111111111,,"""Not Disclosed""",,"""Yes""","""Not Disclosed""","""Green""",,"""Green""","""No Evidence""",78.35483945334143,,,"""Not Disclosed""",,"""Pass""",2.05,,,,,,,,,,,1064068.122357111
"","""HERCULES CAPITAL, INC.""","""IID000000002151703""",,"""US4270965084""","""549300UJ5OC256GR2B73""","""HTGC""",,true,46165.35,,,,0.0,"""Green""",,"""No""",,,,,,,"""Green""",,92.0,492.0,,,164.17749492513045,"""Pass""",42.8571428571,,"""Not Disclosed""",,"""Yes""","""Not Disclosed""","""Green""",,"""Green""","""No Evidence""",14.51380375642179,,,"""Not Disclosed""",,"""Pass""",0.0,,,,,,,,,,,40565.06553293595
"","""SHANGHAI JINQIAO EXPORT PROCESSING ZONE DEVELOPMENT CO., LTD.""","""IID000000002151704""",,"""CNE000000404""","""300300145JZKQZO13H90""","""600639""",,true,158412.47,,,,97.19,"""Green""",,"""No""",,,,,,,"""Green""",,2960.0,16427.0,,,315.37775322257266,"""Pass""",25.0,,"""Not Disclosed""",,"""Yes""","""Not Disclosed""","""Green""",,"""Green""","""No Evidence""",68.27855478946591,,,"""Not Disclosed""",,"""Pass""",0.0,,,,,,,,,,,177799.47206275217
"","""Liaoning Cheng Da Co., Ltd.""","""IID000000002151712""",,"""CNE000000LY3""","""300300ZCCWKNUJRL8D79""","""600739""",,true,433359.72,,,,5.17,"""Green""",,"""No""",,,,,,,"""Green""",,17319.0,11334.0,,,182.25935335611157,"""Pass""",11.1111111111,,"""Not Disclosed""",,"""Not Disclosed""","""Not Disclosed""","""Green""",,"""Green""","""No Evidence""",69.22026208477737,,,"""Not Disclosed""",,"""Pass""",0.0,,,,,,,,,74.28,,462012.71589270915
"","""TATA TELESERVICES (MAHARASHTRA) LIMITED""","""IID000000002151714""",,"""INE517B01013""","""3358003IB42VST99EI84""","""TTML""",,true,19185.89,,,,100.0,"""Green""",,"""No""",,,,,,,"""Green""",,114.0,14500.0,,,272.8223951379432,"""Pass""",16.6666666667,,"""Not Disclosed""",,"""Yes""","""Not Disclosed""","""Green""",,"""Yellow""","""No Evidence""",5.21569778315224,,,"""Not Disclosed""",,"""Pass""",0.0,,,,,,,,,,,33799.89358513279
"","""Shanghai Pharmaceuticals Holding Co., Ltd.""","""IID000000002151735""",,"""CNE000000C82""","""30030029J1KKCBY19820""","""601607""",,true,5150761.09,,,,0.0,"""Green""",,"""No""",,,,,,,"""Green""",,110352.0,205347.0,,,174.82776773435052,"""Pass""",0.0,,"""Not Disclosed""",,"""Yes""","""Not Disclosed""","""Green""",,"""Green""","""No Evidence""",318.4115068348756,,,"""Not Disclosed""",,"""Pass""",0.0,,,,,,,,,,,5466460.092305529
"","""Haitong Securities Co., Ltd.""","""IID000000002151747""",,"""CNE000000CK1""","""300300E1003931000068""","""600837""",,true,901650.32,,,,0.0,"""Green""",,"""No""",,0.0,,,65.7373155477,,"""Green""",65.7373155477,2052.0,31197.0,,,157.62380502159334,"""Pass""",9.0909090909,,"""Not Disclosed""",,"""Yes""","""Not Disclosed""","""Green""",,"""Green""","""No Evidence""",13.17254220594109,,0.59,"""Not Disclosed""",,"""Pass""",0.0,,1.13199,1.72199,,,,,,,,934899.316646607
"","""SDIC Power Holdings Co., Ltd.""","""IID000000002151755""",,"""CNE000000JM2""","""300300LQJ91PHBNFC721""","""600886""",,true,7210390.87,32.21,,,57.35,"""Green""",,"""No""",,,,,38.2736251784,,"""Green""",,4.33809E7,3200.0,,38.2736251784,7500.735583194088,"""Pass""",11.1111111111,,"""Not Disclosed""",,"""Not Disclosed""","""Not Disclosed""","""Green""",,"""Green""","""No Evidence""",1566.5728384299082,,,"""Not Disclosed""",,"""Pass""",4.26,,,,,,,,,,,5.05944908713982E7
"","""Guizhou Zhongyida CO., LTD.""","""IID000000002151758""",,"""CNE000000503""",,"""600610""",,true,319573.42,,,,86.91,"""Green""",,"""No""",,,,,,,"""Green""",,82318.0,36918.0,,,2487.6552763324767,"""Pass""",14.2857142857,,"""Not Disclosed""",,"""Yes""","""Not Disclosed""","""Green""",,"""Orange""","""No Evidence""",220.22059831696146,,,"""Not Disclosed""",,"""Pass""",0.0,,,,,,,,,,,478477.69837522844
