CLIENT_IDENTIFIER,ISSUER_NAME,ISSUERID,CIK_NUM,ISSUER_ISIN,ISSUER_LEI,ISSUER_TICKER,AE_DIST_MAX_REV_PCT,ESG_CONTROVERSIES_COVERED,CARBON_EMISSIONS_SCOPE_3_TOTAL,GENERAT_THERMAL_COAL_PCT,FIREARM_PROD_MAX_REV_PCT,IVA_COMPANY_RATING,EU_TAXONOMY_ELIGIBLE_MAX_REV,ENVIRONMENT_TOXIC_FLAG,AE_PROD_MAX_REV_PCT,CONTRO_WEAP_CBLMBW_ANYTIE,FIREARM_RET_MAX_REV_PCT,ENERGY_CONSUMP_INTEN_EUR,GENDER_PAY_GAP_RATIO,MET_COAL_MAX_REV_PCT,PCT_NONRENEW_CONSUMP_PROD,PROD_CIV_ARMS_AUTO,ENVIRONMENT_LAND_FLAG,PCT_TOTL_ERGY_CONSUMP_NONRENEW,CARBON_EMISSIONS_SCOPE_1,CARBON_EMISSIONS_SCOPE_2,TOB_DIST_MAX_REV_PCT,PCT_TOTL_ERGY_PRODUCT_NONRENEW,CARBON_EMISSIONS_SALES_EUR_SCOPE123_INTEN,LABOR_COMPLIANCE_CORE,FEMALE_DIRECTORS_PCT,ANI_TEST_POLICY,OPS_PROT_BIODIV_AREAS,IVA_RATING_TREND,LABOR_DDIL_POL_ILO,ACTIVE_FF_SECTOR_EXPOSURE,ENVIRONMENT_CLIMATE_FLAG,WATER_EM_EFF_METRIC_TONS,OVERALL_FLAG,MECH_UN_GLOBAL_COMPACT,CARBON_EMISSIONS_EVIC_EUR_SCOPE123_INTEN,THERMAL_COAL_MAX_REV_PCT,TOTL_ERGY_CONSUMP_RENEW_GWH,OPS_PROT_BIODIV_CONTROVS,ANI_FACTORY_FARM,UNGC_COMPLIANCE,EST_EU_TAXONOMY_MAX_REV,PRED_LEND_MAX_REV,TOTL_ERGY_CONSUMP_NONRENEW_GWH,TOTL_ERGY_CONSUMP_GWH,CWEAP_TIE,FUR_PRODUCER,NON_PHARMCEUTICAL_TESTER,TOB_SUPP_MAX_REV_PCT,CONV_OIL_GAS_MAX_REV_PCT,HAZARD_WASTE_METRIC_TON,WEAP_MAX_REV_PCT,CARBON_EMISSIONS_SCOPE123
"","""ESPEC CORP.""","""IID000000002141781""",,"""JP3469800001""",,"""6859""",,false,339647.87,,,,85.27,,,"""No""",,0.95,,,0.0,,"""Green""",0.0,3576.0,11541.0,,,1144.9687578054466,"""Pass""",,,"""Not Disclosed""",,"""Yes""","""Not Disclosed""",,,"""Green""","""No Evidence""",1060.2242939061541,,4.374,"""Not Disclosed""",,"""Pass""",,,0.0,283.1744,,,,,,,,354835.86668451165
"","""EMERGENT BIOSOLUTIONS INC.""","""IID000000002141782""",,"""US29089Q1058""","""549300YW6TUOX8BE5103""","""EBS""",,true,238890.53,,,,0.0,"""Green""",,"""No""",,,,,,,"""Green""",,15401.0,44529.0,,,280.09402760989576,"""Pass""",22.2222222222,,"""Not Disclosed""",,"""Yes""","""Not Disclosed""","""Green""",,"""Yellow""","""No Evidence""",161.9230178249556,,,"""Not Disclosed""",,"""Pass""",0.0,,,,,,,,,,,441544.6388465149
"","""DRIL-QUIP, INC.""","""IID000000002141785""",,"""US2620371045""","""5299007REICYIJNMW197""","""DRQ""",,true,444137.49,,,,100.0,"""Green""",,"""No""",,,,,,,"""Green""",,3724.0,9031.0,,,1440.0074175325537,"""Pass""",28.5714285714,,"""Not Disclosed""",,"""Yes""","""Not Disclosed""","""Green""",,"""Green""","""Yes""",674.234358920242,,,"""Not Disclosed""",,"""Pass""",0.0,,,,,,,,,,,408943.3657158944
"","""LEONARDO DRS, INC.""","""IID000000002141786""",,"""US52661A1088""","""549300HMMEWVG3PPQU18""","""DRS""",,true,40658.67,,,,100.0,"""Green""",,"""No""",,,,,,,"""Green""",,1080.0,2053.0,,,409.4038663773235,"""Pass""",33.3333333333,,"""Not Disclosed""",,"""Yes""","""Not Disclosed""","""Green""",,"""Green""","""No Evidence""",104.61709376907969,,,"""Not Disclosed""",,"""Pass""",0.0,,,,,,,,,,29.99,43791.66928079906
"","""DUKE ENERGY CORPORATION""","""IID000000002141789""",,"""US26441C2044""","""I1BZKREC126H0VB1BL91""","""DUK""",,true,1.992007481E7,16.78,,,32.26,"""Green""",,"""No""",,15.9,,,94.8546287419,,"""Green""",95.8434133126,7.88E7,420000.0,,93.2485739684,4461.930908436241,"""Pass""",35.7142857143,,"""Not Disclosed""",,"""Yes""","""Yes""","""Green""",,"""Orange""","""No Evidence""",732.5244108283572,,14582.0,"""Not Disclosed""",,"""Pass""",6.25,,336234.694,350816.694,,,,,,643.193456,,9.847087584332086E7
"","""DYNEX CAPITAL, INC.""","""IID000000002141793""",,"""US26817Q8868""","""5CIJ4S9HAEBWILA19B65""","""DX""",,true,61669.0,,,,0.0,"""Green""",,"""No""",,,,,,,"""Green""",,48.0,259.0,,,164.10764415409886,"""Pass""",33.3333333333,,"""Not Disclosed""",,"""Yes""","""Not Disclosed""","""Green""",,"""Green""","""No Evidence""",6.799848874485888,,,"""Not Disclosed""",,"""Pass""",0.0,,,,,,,,,,,21382.19278430962
"","""HLA GROUP CORP., LTD.""","""IID000000002141796""",,"""CNE0000016H3""",,"""600398""",,true,,,,,0.0,"""Green""",,"""No""",,,,,,,"""Green""",,5621.0,25927.0,,,,"""Pass""",11.1111111111,,,,,,"""Green""",,"""Green""",,,,,,,"""Pass""",0.0,,,,,,,,,,,
"","""Fushun Special Steel Co., Ltd.""","""IID000000002141797""",,"""CNE0000016F7""",,"""600399""",,true,909430.91,,,,100.0,"""Green""",,"""No""",,,,,,,"""Green""",,1216164.0,245505.0,,,2348.7785869003988,"""Pass""",22.2222222222,,"""Not Disclosed""",,"""Yes""","""Not Disclosed""","""Green""",0.79,"""Green""","""No Evidence""",336.30462499802786,,,"""Not Disclosed""",,"""Pass""",0.0,,,,,,,,,,,2402788.92813091
"","""BEIJING TONGRENTANG CO., LTD""","""IID000000002141798""",,"""CNE000000R69""",,"""600085""",,true,483124.56,,,,0.0,"""Green""",,"""No""",,0.0,,,93.7395873382,,"""Yellow""",93.7395873382,2941.0,16855.0,,,242.9411217246112,"""Pass""",54.5454545455,,"""Not Disclosed""",,"""Yes""","""Not Disclosed""","""Green""",,"""Yellow""","""No Evidence""",52.35298351360492,,,"""Not Disclosed""",false,"""Pass""",0.0,,2.9258,3.1212,,,,,,0.7,,502920.5596460835
"","""First BanCorp""","""IID000000002141814""",,"""PR3186727065""",,"""FBP""",,true,330972.62,,,,0.0,"""Green""",,"""No""",,,,,,,"""Green""",,851.0,4536.0,,,362.38257632985494,"""Pass""",33.3333333333,,"""Not Disclosed""",,"""Yes""","""Not Disclosed""","""Green""",,"""Green""","""No Evidence""",100.7617798703201,,,"""Not Disclosed""",,"""Pass""",0.0,,,,,,,,,,,336359.6195250746
