CLIENT_IDENTIFIER,ISSUER_NAME,ISSUERID,CIK_NUM,ISSUER_ISIN,ISSUER_LEI,ISSUER_TICKER,AE_DIST_MAX_REV_PCT,ESG_CONTROVERSIES_COVERED,CARBON_EMISSIONS_SCOPE_3_TOTAL,GENERAT_THERMAL_COAL_PCT,FIREARM_PROD_MAX_REV_PCT,IVA_COMPANY_RATING,EU_TAXONOMY_ELIGIBLE_MAX_REV,ENVIRONMENT_TOXIC_FLAG,AE_PROD_MAX_REV_PCT,CONTRO_WEAP_CBLMBW_ANYTIE,FIREARM_RET_MAX_REV_PCT,ENERGY_CONSUMP_INTEN_EUR,GENDER_PAY_GAP_RATIO,MET_COAL_MAX_REV_PCT,PCT_NONRENEW_CONSUMP_PROD,PROD_CIV_ARMS_AUTO,ENVIRONMENT_LAND_FLAG,PCT_TOTL_ERGY_CONSUMP_NONRENEW,CARBON_EMISSIONS_SCOPE_1,CARBON_EMISSIONS_SCOPE_2,TOB_DIST_MAX_REV_PCT,PCT_TOTL_ERGY_PRODUCT_NONRENEW,CARBON_EMISSIONS_SALES_EUR_SCOPE123_INTEN,LABOR_COMPLIANCE_CORE,FEMALE_DIRECTORS_PCT,ANI_TEST_POLICY,OPS_PROT_BIODIV_AREAS,IVA_RATING_TREND,LABOR_DDIL_POL_ILO,ACTIVE_FF_SECTOR_EXPOSURE,ENVIRONMENT_CLIMATE_FLAG,WATER_EM_EFF_METRIC_TONS,OVERALL_FLAG,MECH_UN_GLOBAL_COMPACT,CARBON_EMISSIONS_EVIC_EUR_SCOPE123_INTEN,THERMAL_COAL_MAX_REV_PCT,TOTL_ERGY_CONSUMP_RENEW_GWH,OPS_PROT_BIODIV_CONTROVS,ANI_FACTORY_FARM,UNGC_COMPLIANCE,EST_EU_TAXONOMY_MAX_REV,PRED_LEND_MAX_REV,TOTL_ERGY_CONSUMP_NONRENEW_GWH,TOTL_ERGY_CONSUMP_GWH,CWEAP_TIE,FUR_PRODUCER,NON_PHARMCEUTICAL_TESTER,TOB_SUPP_MAX_REV_PCT,CONV_OIL_GAS_MAX_REV_PCT,HAZARD_WASTE_METRIC_TON,WEAP_MAX_REV_PCT,CARBON_EMISSIONS_SCOPE123
"","""Companhia de Saneamento do Parana - Sanepar""","""IID000000002162590""",,"""BRSAPRACNOR9""","""254900SZW9X2D21A7X94""","""SAPR11""",,true,238816.94,,,,100.0,"""Green""",,"""No""",,0.89,,,99.9629142722,,"""Green""",99.9629142722,1016529.0,92666.0,,,1602.885497678234,"""Pass""",11.1111111111,,"""Not Disclosed""",,"""Yes""","""Not Disclosed""","""Green""",,"""Green""","""Yes""",1576.8841968434485,,0.2722222224,"""Not Disclosed""",,"""Pass""",19.16,,733.7627783648,734.0350005872,,,,,,,,1316982.1435197112
"","""COMPANIA CERVECERIAS UNIDAS S.A.""","""IID000000002162592""",,"""CLP249051044""","""529900BJW9B0O6LI2R39""","""CCU""",,true,2115252.28,,,,0.0,"""Green""",,"""No""",,0.26,,,52.3183940373,,"""Green""",52.3183940373,92777.0,97481.0,,,828.6145011318421,"""Pass""",11.1111111111,,"""Not Disclosed""",,"""Yes""","""Not Disclosed""","""Green""",,"""Green""","""No Evidence""",630.5299061014748,,46.0580555924,"""Not Disclosed""",,"""Pass""",0.0,,354.7916669505,678.139444987,,,,,,505.0,,2124967.7524497635
"","""COMPANIA ESPANOLA DE PETROLEOS, S.A.""","""IID000000002162599""",,,"""549300E1NH9FOTLIFI22""","""MUINC""",,true,6.314067269E7,,,,,"""Green""",,,,,,,,,"""Green""",,4369413.0,977246.0,,,2803.628614095584,"""Pass""",,,,,,,"""Green""",,"""Yellow""",,,,,,,"""Pass""",0.06,,,,,,,,4.04,,,6.848733168596052E7
"","""Telefonica Chile S.A.""","""IID000000002162621""",,"""CLP3058U1199""","""549300PXDEUZK6TQE635""","""CTC""",0.1,true,184570.54,,,,100.0,"""Green""",,"""No""",,7.31,1.2,,24.3831412605,,"""Green""",24.3831412605,9736.0,69885.0,,,261.79497252959624,"""Pass""",20.0,,"""Not Disclosed""",,"""Yes""","""Not Disclosed""","""Green""",,"""Green""","""No Evidence""",240.66706185701455,,4617.63801,"""Not Disclosed""",,"""Pass""",0.0,,1488.987,6106.625,,,,,,3268.0,,264191.5402331428
"","""COMPASS GROUP PLC""","""IID000000002162627""",,"""GB00BD6K4575""","""2138008M6MH9OZ6U2T68""","""CPG""",,true,5895660.07,,,,0.0,"""Green""",,"""No""",,0.02,17.7,,99.0,,"""Green""",99.0,100000.0,46807.0,,,205.76570803478302,"""Pass""",38.4615384615,,"""Not Disclosed""",,"""Yes""","""Not Disclosed""","""Green""",,"""Green""","""Yes""",144.57035928695203,,4.80805034,"""Not Disclosed""",,"""Pass""",0.0,,475.99698366,480.805034,,,,,,,,6042467.073868225
"","""COMPASS MINERALS INTERNATIONAL, INC.""","""IID000000002162630""",,"""US20451N1019""","""2549008X9G8XP7YJGC47""","""CMP""",,true,2797423.26,,,,81.21,"""Green""",,"""No""",,,,,,,"""Green""",,229895.0,71914.0,,,2440.449226381401,"""Pass""",36.3636363636,,"""Not Disclosed""",,"""Yes""","""Not Disclosed""","""Green""",,"""Green""","""No Evidence""",1248.2774368975959,,,"""Not Disclosed""",,"""Pass""",0.0,,,,,,,,,195.0,,3099232.2590120803
"","""COMPEQ MANUFACTURING CO., LTD.""","""IID000000002162634""",,"""TW0002313004""",,"""2313""",,true,817649.24,,,,100.0,"""Green""",,"""No""",,0.48,,,100.0,,"""Green""",100.0,177031.0,702152.0,,,758.7509765577199,"""Pass""",10.0,,"""Not Disclosed""",,"""Yes""","""Not Disclosed""","""Green""",,"""Green""","""No Evidence""",788.3809157026735,,,"""Not Disclosed""",,"""Pass""",0.0,,1067.7141397431,1067.7141397431,,,,,,55101.0,,1696832.2448668643
"","""COMPUGEN LTD.""","""IID000000002162657""",,"""IL0010852080""",,"""CGEN""",,true,1444.47,,,,100.0,"""Green""",,"""No""",,,,,,,"""Green""",,13.0,29.0,,,237.3568415334972,"""Pass""",28.5714285714,,"""Not Disclosed""",,"""Not Disclosed""","""Not Disclosed""","""Green""",,"""Green""","""No Evidence""",3.956333424208059,,,"""Not Disclosed""",,"""Pass""",0.0,,,,,,,,,,,1300.328106534463
"","""COMPUTER PROGRAMS AND SYSTEMS, INC.""","""IID000000002162674""",,"""US2053061030""","""5493005Q6CJC78TGL805""","""CPSI""",,true,50014.07,,,,0.0,"""Green""",,"""No""",,,,,,,"""Green""",,761.0,2991.0,,,184.458687741768,"""Pass""",25.0,,"""Not Disclosed""",,"""Yes""","""Not Disclosed""","""Green""",,"""Green""","""No Evidence""",96.65438430976762,,,"""Not Disclosed""",,"""Pass""",0.0,,,,,,,,,,,45519.38229068506
"","""COMPUTER TASK GROUP, INCORPORATED""","""IID000000002162679""",,"""US2054771025""",,"""CTGX""",,true,,,,,,"""Green""",,,,,,,,,"""Green""",,,,,,,"""Pass""",33.3333333333,,,,,,"""Green""",,"""Green""",,,,,,,"""Pass""",0.0,,,,,,,,,,,
